nerdyplourdie6,how many times yo daddy woop yo ass and u cry
hellogbo,
mrcouch2,I am resource teacher finishing up my credential. I teach at a great high school and have a great group of 20 kids. I also enjoy coaching!
runnin_away,Centrifugal Force  We Honour Thee. Death to the centripetal pull! Death to the Centre! Smash the pyramid to shreds.
fatvito5,#VKNMKT #NoMercyMember #BuiltDifferent
allenhenson,allen@allenhenson.com
lexoflove_,Alexis. 21. KSU. IG:lexoflove_
aatheartist,from my heart
aevalillith,Sociologue de formation. Démocratie - Économie - Environnement - Féminisme - Racisme - Palestine - Artisane-joaillière. Éprise de justice sociale.
nomilubin,I'm a painter.
skyhookguy,
gnomon,Nerd  lover of the arts and of programming  focused on professional IT operations in practice and in theory  💍 @k8eb & ❤️☕
lucecannonz,Determinded•Focused•Ambitious •Career=IT-Telecom•News Junkie•Rationalist•Intelligent•Gamer• HipHop Lover• Rock lover•And more...
kayfleet1991,
deneesouljourn,On Planet Earth to 'do my job'...    help mankind...save planet...work with Society...
gelfusamarisa,Adult Learning and Community Engagement
girly_nx101,įf ÿóú ãrę ñøt śmìłîñg ÿõú árę dòîńg īt WRØÑG!!!
tylermsuther,
amdearden,ouwb · space · science · medicine
trendsfm,:: Trends & Future Megatrends :: Outfiguring the future  exponential trends that protend forth :: Account is operated by @_trendspotter.
sonicbananas87,Dog Follower
juliahass,Student at @umassuww. Writer. Proud gerbil mom. Bostonian. Fan of the Pittsburgh Penguins  art museums  dessert  feminism  and your pets.
rachelintheoc,Author  survivor  advocate. Founder #SexAbuseChat #MondayBlogs #BookMarketingChat @BadRedheadMedia Rep'd @LisaHagan123 https://t.co/VuplzD3FLm https://t.co/0Eq3pgPD6g…
merrinish,Writer at @DefendingBigD  the Don Sweeney of fantasy hockey rosters  and a salty winter adult. Tweets and RTs are my opinion. Hockey w/ a side of liberalism.
richard41414279,Me encanta las motos y la libertad al rodar
larsmessing,
pamela7946,
jasonhoughton5,#Travel and #wellness will you be part? Some group RTs. Those who RT  like or mention will be given priority. (Adult man) Notifications broken again
miriambehira,
stephenghubbard,BioManufacturing and BioMechanics.  Zymergen. Previously: Advanced Biofuel Process Demonstration Unit. Hubbard Strength & Conditioning. SF Flamethrowers S&C.
imonthemark,Politics  sports  music and whatever stupid shit comes to mind. You may get offended. I may not care.
misskellyocps,Gifted Ed. Teacher (#misskellyocps)  PLC facilitator  makerspace lady (#ocpsmakers)  Creativity instructor  curriculum junkie  tech trainer  thinker  learner.
putoastronauta,astronomy and climate change enthusiast. #Rayado desde 1992.
luckytran,Scientist. Biophile. Refugee. Street journo. I do science media for a big university. Say hi: info@luckytran.com
distracts,political junkie  sci-fi junkie. married a hockey fan and got infected with hockey madness. infrequent tweeterer.
toolan_k,
chrislukenbill,Family is 1st  changing the world of ag is my life's work. Founder of Able.ag  Co-Owner & Director of Software @BrightAgrotech
georgeodem,Social Media Consultant. Multimedia Producer. Spurs Fanatic. Badass Troublemaker. Texan.
jaysaidso23,
kd5mdk,
thepixelgirl,online media  cartoon  clothing  games  music. Smart ass tweets Pushing pixels since 1994 If UDEV it yes I will try & break it. Yes I own Pixel Girl @pixelgirl
theresagoldner,Wife  Mom  Aunt  County Counsel  Judge  Commissioner  Lawyer  and Twitter Newbie. Views expressed here are my own.
caitlynjk,4'11. Redhead. Music dabbler. Born and raised Philly girl  former LA girl. 20 something. Probably drinking wine and watching cable news. Hot mess.
link_man_1,POTATO CHIPS AND COLA!
giu_aug,
lanceseidman,Multi-Platform Programmer. Hardware Creator. Developed AI for websites & robots to understand moods & have feelings. #VegasTech.
sricon,Instrumentation Engineer(Working in National Council for Cement and Building Materials).A proud Indian  Hindu and a Bhakth :)
itskarthikb4u,I am a nationalist  an enthusiastic reader with a passion for details. Interested in art  politics  science  automobiles  anything and everything creative
djchema78,#House #DJ  #Microbiology & #Marketing @SeFutbol @Atleti @Helix #TWD #TheXFiles #SOA #Gotham #Science #Virology #Space #Paranormal Always looking to innovate
qldscience,Bringing together the Qld Science community to celebrate successes  share latest events  and explore research and development (R&D) opportunities. #qldscience
ajt_17,Never Give Up. #Knickstape #Patsnation #YankeesBaseball
lorelikesfries1," I wish  I wish  I wish." Why don't you stop wishing and actually do it?
feonixforever,
krazzyvshl,A friendly ambivert who loves tech 🖥📱 and music 🎧🎶
wyatt9_9_9,
epioctopus,Astrophysics student and future NASA employee. Melee fan and Mirror's Edge speedrunner. Punk and metal trash.
napster_004,noob photographer fan of Shaktiman..full nagpuri..lost soul in I.T industry #GGMU IG: fallen_dream
_aroomba,get the funk down
ktstrs_,your neighborhood fangirl 🥂
karly_doo,•eyelashes as black as my soul and as long as the list of people i hate• || ΑΣΑ || •boise state•
belle_byass,IM A GRAMMAR NAZI!!! ALL HAIL BELLA!!! HEHEHE IM FEELING EVIL😈😈🔪⚰️🙈
jeremyhalfbreed,Nothing to see here  just your average catfish...  S.C/I.G: JeremyHalfbreed
kellylord1569,
honeyhussh,The truth is not always beautiful  nor beautiful words the truth. ~Lao Tzu
alataza,
itsluisgomez,Co-editor in Chief @fupaper ~ Student @fordhamnyc ~ distracted writer
ravinramjit,
treyedge09,USSF Referee
samuel_harmon,
downhereonearth,Space/physics reporter for @NewScientist. I like space. I also like people who like space  and explaining things about space. SPACE. (I am very well-rounded.)
tony111288,Opinion Politics Government & Politics US & World&little sarcasm added when it applies to certain topics free thinker expressing my right to freedom of speech
newsworldin,For the latest breaking news and the smartest perspective from the world of News
mckenzierc,BSU '17 • Snap/Insta: mckenzierc
gerlach_brian,Hobbies: Guitars  Electronics    Provinznest Ohio
taranvh,Editor / Camera op / Scriptwriter / Host / Etc at Linus Media Group. Robotics enthusiast. Future supervillain. Cool frood. Thoughts and opinions are my own.
mcbrizzle_,Biology major at Indiana State| If you're reading this we're dating ♍️ Sonic the hedgehog is my dad. @steady_moppin fan account
__ohjoedy,Process Technology Graduate. BO$$HOGG. YB&R. SRT392. SC: ohjoedy
rfsu,Riksförbundet för sexuell upplysning.  The Swedish Association for Sexuality  Education.
lvhelpgro,1 Simple 2 Scalable 3 Sustainable 4 Replicable 5 Renewable  advocate 4 https://t.co/Drqp8G23Xo
pytbby,i'm a stan account pls don't be bothered
freedomfromu,Champion phone bricker
kuffodog,I exist. Feel free to follow. You may get blocked or hacked by various entities. Everyone has free will. Pick what's good  choose wisely. RTs not endorsements.
mykaamariee,wait for it
saannttaa,
ricklmiller1,Retired -- and LOVING it!
sgoodman12,Producer. Director. Writer. Dad.
flora6,We are online florists & we help you to send Gifts & flowers to  your dear ones to India. We have a wide Range of Gifts are available for  all kind of Occasion.
foreveryoongi,aaa
kry5t41,Child of the universe. Save the bees  save the Earth. 19 Big world  small boobs. Being kind is so cool.
bobcbw,Membre du CrazyBomb World. Tu aimes les films et les séries ? Alors tu es mon ami.
nperard51,Master Degree Media production Valenciennes France. Makes lame jokes  talks politics  high-tech and useless things.
ankitrajdesai,Panda.. Standup Comedy  Jazz & Western Classical Music lover (in no order)..Sec#377 hater.. F1 Buff..Foodie..Views Expressed are my Own with no endorsements
sciwhat,Research assistant in NHP genetics  #scicom in aquaculture  #NASW member  #NASASocial alum  ex-journo/ex-archaeologist. Support #science #journalism #skepticism
champagne_javi_,I sold 2chainz his second chain
anjahoffmann,MD • Biz Consultant: Connecting the dots across #Trends  #Innovation & #Tech. [#SDGs  #4IR  #IoT  #3Dprint  #AI]. Curious about Tomorrow's Society & Biz Models.
petehalvorsen,Photographer of people  places and things  https://t.co/ZuWG2GEjga
zachacole,Product design @Lyft. Systems  css  and js. Excellent source of fiber. Let's run!
carlosnilmmns,Planet E  TRAX Records Chicago  Ornaments  Circus Company
jonco50,100% Trump supporter #TrumpPence16
daily_star,Your Official Daily Star Twitter Page!
halleatonix,surround yourself with inspiring beings.
lucyithink,space hoe with a 4.0
jaidev_pawanism,PowerStar Devotee | Tech Enthusiast | EMINƎM Fan | Movie freak...  Will be using Twitter mostly to get customer care issues resolved...
ravilusa,
ucfh,Writer  Alleged Sociopath  Amateur You  Professional Me | very tired  underpaid caretaker: be a patron?
gerritvanbemmel,A educator who is extremly passionate about integrating technology in the classroom
ausgeo,The very best of Australia's nature  culture  people and places.
imshaileshkumar,Co-owner & trainer : Vicky Health Club (Gym). Owner-Siwan Auto.  Past-HDFC Bank. Fitness freak. Traveler  Cricketer  Studied at DAV college Siwan.
francessldb,ohs 2018 snap 👻 itsfrances
itsmikeyv12,
drheaddamage,Small-angle scatterer  pedant  taking a break from Twitter. Opinions expressed on my Twitter account are my own and may not be the opinion of my employer.
matbeuk,галилео
jondonnis,Consumer Advice / Social Commentator. LFC Fan  Author  Editor  Writer  Journalist  Atheist  Vegan  Blogger  Photographer  Cypriot Refugee.
tathompson16,I was taught not to talk to strangers so on that note  I'm not telling!
axiomverge,Maker of Axiom Verge  OUT NOW on XB1  Wii U  Vita  PS4 and Steam!!  https://t.co/kmOOEjCohM
tim_jr_hill,ex-banker  ex-producer  ex-trucker  biker  web dabbler  gardener. 3 cats  7 fish. Will not engage the anonymous or eggs.
fr_citi_zen,Patriote c-a-d amoureux de mon pays  sans connotation politique  mais de droite  humaniste réaliste. Entre la France  les USA et la Russie. Pilote amateur.
gaurav_ghuge,
maybeegreen,Regards sur le monde • Découvertes #Science Espace Tech #Culture Musées Festivals Livre • Autrice scifi SFFF Poésie • Consultante Com CM https://t.co/lIy1e7yHGp
kaethe_butcher,Love To Draw Lovely Girls
cshepherds,who looks more tired?
evecanas,Ecuadorian graphic/industrial design student  Whovian/Sherlockian  enthusiastic supporter of spaceflight + astronomy  gamer  sarcastic introvert... (╯°_°)╯︵ ┻━┻
secritagentman,
sanjeevansss,
oursofearth,#Artist  designer  #physics hobbyist  #timetravel curious  daughter  sister  mother and #human of #Earth with plenty of #questions and very few answers.
bgrand59,
hartman_blake,snap: hartmanblake
jmbuddha,
digitalabdullah,Writer  film enthusiast  and your digital companion. #ZPadder #NovoLeague #QuietRev
legendary_beeny,Photography  film  anime  gaming  coffee  pizza  and music.
ohsovan,Marz Oriented Soul • Exploring the different ways of recreating the processes of my Mind and Soul • More Yang than Ying
lhc_les,【インスタ 】☞https://t.co/StaN85h6Qp ...【YouTube】☞https://t.co/dKmaGvw2d8...........チャンネル登録宜しくお願いします！☝︎Subscribe please!
kkentertainment,
makenapule,Stanford '17 bite me
noorah_1221,Hello i'm Nan .. an alien that dropped off on this planet by mistake . nice to meet u too :3
carlynharris,Global Health & Microbiology Student at Arizona State University☀️| 2016 @StanfordMedX Student Leadership Delegate | Circumnavigator's Club Scholar 🌎🌍🌏
colin_p_cor,
varunauthentic,LIVE-LIFE-ON-THE-EDGE guy! A Chemical Engineer by degree. Risk Taker  not a risk analyst at an investment firm.  RETWEETS are not endorsements!
amanvincent,Tweeting Great Ideas Sharing Knowledge & Encouraging All #Ennovate #GreenCleanathon #Protohack-athon #Startups #Frugaltech #Agripreneurship #Crowd-S&F #IoT #AI
i0s3r,stop being emo you pussy sc. viee_yo ig. cl1ckba1t
ssandyyc,stop trying to cheat on ur gf with me |ASU '19| ig:ssandy.c
travis_am,Spring Break.  MAGA
markawilliams,Like a film noir Captain Birdseye! Father of cats @LibDems Campaigns for #Hoole Team @Nottinghoole Chair of @ChesterFringe Writer @CthulhuRock #Syria #Yemen
vtwebdesign,Vermont Internet Design LLC provides  specialized web development services in PHP  Mysql  AJax  Javascript Domains  Hosting   and more.
marcmcardle1,Celtic  gaming  Scottish independence  sci-fi & films of the 80s  beer and family all keep me pretty happy.
gladsonamrose,Try not to become a man of success but rather to become a man of value.
_mjwills,Wellington cartoonist. Proud human slave of the #GalacticFederation
madgirlslvsong,born too late to explore the earth   born too early to explore the galaxy
badkarma_14,
mailnagy,
annasather,I would very much like to be excluded from this narrative  one that I have never asked to be a part of.
kyawzinhtun_7,electronic engineering student studying at technological university of kyautse  living in Mandalay  liberal Buddhist  skeptic  science enthusiast
kellygreen0813,Hi. I'm Kelly.  I'm originally from Cincinnati   Ohio and currently lives in Ogden   Utah. I love bright colors   mountains   helping people  and learning.
flyxena,
thestatesmanltd,The Statesman is one of India's oldest English newspapers founded in Kolkata in 1875.
turlona,Turlon & Associates (REP ID 3299) is a global provider of Project  Program and Process (3P’s) training and consultancy services
stormynormb,
muhiburshourov,Muhibur Rahman Shourov
asako50957100,
bishboria,Former mathematician. Glaikit type theory phd student  supervisor @pigworker
peter_hindwood,Proud Australian. Just say no to the extremist left. #IslamIsTheProblem #NoGreens Warning some opinions may offend. RT's are not endorsments.
theoooooooooo,Mois.
luigipizzimenti,Blog: https://t.co/VYkn73kdZQ Web: https://t.co/dfSPEvpUqY contact: informazioni@collectionspace.it
dineshkumargph1,
waldimrenales,ONE'S DESTINATION IS NEVER A PLACE  BUT A NEW WAY OF SEEING THINGS...  (Ako? Mahilig gumala  maaasahang kaibigan  pero nakakatakot na kaaway! haha..)
spacetackle,
cornelisdemooij,
bladahl,Toimittaja. Hanustelija. | Freelance journalist and greenthumb(ish) allured by the sky. Trying to do the right thing.
aussiephinatic,—Space—Science—Miami Sports—Barça— Richard Feynman: "I was born not knowing and have had only a little time to change that here and there."
mani_enforcer,i never give up!!!
anamika13,#Genomics #PrecisionMedicine #Biomarkers #TBI #digitalhealth #Healthcare #AI (learning) Thanks for checking out my profile. -Anamika Mehta
tudelftglobal,TU Delft | Global Initiative - Science & Technology for Global Development
kentimpactgroup,University of Kent Hypervelocity Impact Laboratory Group
memeschennai,Advertising agency
vkraomovva,MBA  C E M ( IIFT 1981)  FORMERLY NEW DELHI BASED PUBLISHER OF CHINA ECONOMY AND TRADE ( 1983 ) THE PREDICTORS OF CHINA BOOMING MIRACLE ECONOMY IN 1983 ITSELF
gmwscouts,Up to date info for scouting in Salford  Trafford and Wigan metros (GMW). We provide a youth shaped balanced programme for 5000 young people aged 6 - 25
jedlanakln,be someone a skywalker would be proud of
christinedemmo,Passionate traveller  worker/researcher/clinical psychologist/society enthusiast and culinarist. Oslo and Paris bound!
ben_frizon,
beyourownuk,Twitter account of #BEYOUROWN.  Leading women with a vision.  Curated by @samanahduran #BEYOUROWN
mathspacademy,MathSP specializes in STEM academic coaching and comprehensive test prep coaching. Visit http://t.co/rqyKB6TN8o to learn more!
stemgemsbook,STEM Gems Book by Stephanie Espy: Explore the paths of 44 inspiring women in diverse STEM fields  and learn what it takes to be a STEM Gem! #GirlsInSTEM
petervandermay,
kloakatv,YouTuber  Gamer  ITIL Expert and a Dad! I'm here to share gaming  fun and parts of my life.... #KloakaTV
helenwo60231682,meow
kirwan_david,Computing postgrad  science  engineering  art  technology  mathematics  open source software & hardware and the maker movement. Amateur Radio Callsign: EI7HTB
hellomondaycom,Always expanding the frontiers of digital innovation.
sofiasalazar150,I'm a JakeGlobox fan Jake Monreal fan Dobre twins fan Dance Moms fan and I love minecraft 😀  flute nrms band😄🎺🎶🎼love all my friends their AWESOME😁😎😎😎🤓
edie,The latest news  features  reports and information for sustainability and resource efficiency professionals
ficusofdoom,🌸민은미🌸22  Bookworm  Feminist  Slytherin  Team Valor | INFJ | Passionate about things | ProfessionalPirateGroupie™
katewetherlock,Overheard saying: Owww! Recently seen: Morocco  holding a golden crab
uncle_reeks,Rather be hated for who I am than loved for who I'm not. #MUFC
meateatermike,
poursuislavie,kyn • wowza queen • ANXIETY ★ ALLIANCE • first musketeer - ✨💘@CaveOrSomething💘✨
ippf,We are the world's leading sexual & reproductive health rights provider.
wiguy45,
sugabytejames,Technology addict.  Founder of Sugabyte in the UK - https://t.co/sAPTBs7sMQ
soarinblues,@Soarinblues Twilight Zone fan & MOVIE FANATIC! #indiefilmoftheweek Friday's! / Mostly - I have no special talent. I am only PASSIONATELY CURIOUS! ~ Einstein.
aydencallaghan,❤️@sjhoneywell❤️ Dad Husband Actor Thinker Lover Fighter kinda man that'll gamble on luck  look you in the eye and never back up
eskimodo,a weirdo but I'm real though
victoriaroloff,Astrophysics MPhys  RDI MSc  #scicomm & working on #ExoMars @ExoMars_CaSSIS PI team for PhD @unibern. Drawing  Deutsch lernen  data analysis  #Mars & all the ☕️
oolong109,
a_quaesitor,veritas liberabit vos
pksiwan,
stephanruest,Word sulptor and pun slinger  mad about haikus / Sculpteur et joueur de mots  fou de haïkus.
starlordism,R rated tweep | Atheist | Feminist | Psychopath   https://t.co/H3g3wGlRTi
shellygarriock,Love- Rugby #Springboks  #Stormers #WP #TopGear  Clarkson Fan Nature Wildlife  Conservation  TV addict Movie Buff Music nut. Woman of many talents♥
go_faustino,She said: I know you  and you cannot sing. I said: That's nothing  you should hear me play piano
gs30543279,Gunners  Padres  Trojans
keeverson,
rpplusm,rp+m is a full service 3D printing and product design company.
neofox411,
rebeccamay89,
ozbaybatuhan,Inançlılar  inançsızların inançsızlığa inandıklarına inanirlar.
georgiamurphy0,http://t.co/RoxjUO117Q
voiceofspirit06,#Election2016 Business & Finance News Gov Officials & Agencies United States Cabinet US & World News Political News Weather Humanitarian
jacquelyngill,Ice Age ecologist in a warming world. Professor @UMaine. Co-host of @ourwarmregards. Working for STEM diversity. Indiana Jones meets Leslie Knope. #USofScience
dan_isntonfire,
bobbynaples,Founder: Local Attitude Media  INC @BostonAttitude https://t.co/BaEekq6jG9 Hospitality Management  New Media  Consultant  Social Media Marketing  Speaker  Host.
kalm80,Journalist. Passionate about healthy living  hiking  art and psychology studies. Views are my own  not of my employer. Retweets are not endorsements.
rodeokitten,It's me  Rodeo. Tweets definitely do not represent the views of my employer. I like cats  science  and boys. Such a nasty woman.
sciencewater,Water makes the lab go round and as specialists in providing water purification systems for lab use  wherever water meets science  we'll be discussing it.
saplayvk94,I want to earn more money. who can help me?
mardysitzer,Buzz Producer:: #webdesign  traditional and #socialmedia marketing  trainer  #publicspeaker. Also https://t.co/f4xZzIOaUB
legobeast6,The "L" in my name stands for Larry!
astropikachu,Better swallow your pride or you're gonna choke on it.
joetaglientesr,Boston boy  husband  dad  #foodie  #entrepreneur  #RealEstate  and #hospitality guy. Love to coach  mentor  and #incubate.Teach #HF416 #franchising @BU_tweets
1theotherblonde,Fashion Designer  Writer  Dreamer  Professional Blonde  Mythical Beast  ❤(10/6/16) Rhett & Link liked my tweet!  ❤(10/28/16) DM'ed by Joel McHale!
meaddamore,:D
bzdt3,
aldotcom,All things Alabama. Managed by the team at Alabama Media Group @getlowder  @MadisonU  @lsibbb & @RamseyArchibald. Share your photos with #alcompix
hillninja83,33   Husband  Father  Gamer  music lover
ta_venturetime,JESSARAE // 5SOS // TØP // THE TIDE // MELANIE MARTINEZ // P!ATD // NEW HOPE CLUB // ED SHEERAN // TROYE SIVAN // SUNSET SONS // LUKE FRIEND // AIRWAYS
_broehling,smooth rich mellow
joshl1220,I write hockey things for WFAA Sports. I once accidentally sat in Claude Noel's seat.
mp256,He who loves me follows me
machinerymktmag,Leading international weekly magazine for manufacturing news including an extensive classified section of new and used machinery and upcoming machinery auctions
altersimpel,bio halt
brianfaughnan,Communications Director  The LIBRE Initiative. All views expressed are my own.
idolxfactor1,Video Uploader | UTube Artist & Dance Promoter | Amature Photographer | SciFi Addict | Space Enthusiast | Drums For Fun! https://t.co/cnmIUGl9n1
worldresources,Climate change  energy  food  forests  water  sustainable cities  governance  finance  business  economics. Tweet/Like ≠ endorsement. Tweets by @lauraleedooley
michdsan14,Plant conservation is my passion and  part of my work at Kew Gardens. Let's hope for a greener and long future. Opinions and views displayed here are my own.
siegrist1224,Just a guy that is looking to the future from now on.
ctdengineering,Central #Texas Discover #Engineering excites #CTX #K-12 #students about #STEM #careers through in-class  #hands-on engineering activities hosted by #engineers.
natikate,Chocolate coffee cheese lover.
kiera_5sos,Of All The Sinners You're First In Line ! So Go To Hell And Tell The Devil Im Not That Far Behind
poisamere,kathryn | 16 | she/her
pxnkclemmings,Cobain can you hear the spheres singing songs off station to station ~~~~~~~ californication
rocketscient1st,Rocket scientist  STEM educator  space enthusiast. Opinions are my own. Retweets are not affirmations.
johnblehbleh,Je suis un fucking pomme
johndbro1,The spatula of purity shall scramble the eggs of your maleficence!  Level 46 Geek.  Weapon of choice: software.  I just booped your snooter
pratik00070,
bradleysaull,VP at @PSCSpeaks  former DHS official  good gov't advocate  cyclist  @OhioState alum. Opinions are my own.
compsciguy31415,Skeptic  the result of billions of years of evolution. Made the Kessel run in 11 parsecs (take that Han)
shaunralston,Sonoma County Aficionado. Cyclist. Sticky Bun Seeker. Technologist. Historian. Regional Marketing Manager at Sutter Health. Music Lover. Libertarian.
juanlazomacedo,OA4AB
sam_argento,Padre y amante de todo tipo de juegos  apasionado de la Carrera Espacial  la Guerra Fría y el Japon Feudal; fan acérrimo de la obra de Tolkien.
afaure_eu,Consulting Services in LAN-WIFI   WAN   Security   Virtualization  VoIP  Collaboration. Urgencies and recurrent problem-solving (twitt in english). CCIE #8935
tallcedarofleb,Endurance = Resilience+Wisdom ;             Because Wisdom Can't Be Taught.                Connecting The Dots Every Day.
fotoalgaba,Asociación de fotógrafos. Únete y acompáñanos. La fotografía está ahí  sólo tienes que saber pararte. Contacto: fotoalgaba@gmail.com
ricardorox1957,Chem Lab Tech. Should have been an Astronomer because I like space so much! Enjoy Standup comedy. music & sports. Interested in the Multiverse.
liverpool_42,Maryland Lad Who Loves All Things LFC and Baltimore and the Occasion Pint #YNWA #JFT96
_mr_moose_,memes over dreams any day
stevechenevey,3x Best News Anchor Emmy Winner. Join me @fox5newsdc & #GoodDayDC 6-11am M-F. A native yinzer I love sports  guitars  traveling and giant coffee mugs...
dasourav1,
alienbeagle,Alien Beagle-the creation of Pat Powell. Miami Florida Heavy Metal Industrial/Acoustic Hellfire. Godzilla vs. Marshall Amps. Like NIN  AIC  Tool  Filter  Hedges
aaron_lye,Architect  Photographer  Gamer Enthusiast  Technologist
dorothea007,Intellectually Promiscuous Citizen of the World
videathink,Small Interesting Stories of Life  Love  Food  Street  culture  nature & brands.
jessieeeeb_,i stevie wonder why
kai_gotdajuice,i'm that bitch nobody can check me 😇
fabborblog,https://t.co/CNmIEd2gmc
k7sull,beware of the internet robots
kennyywilliamss,Just a guy trying to stay smiling and make others smile with me! 😄 💘💥🔥|| 📸Instagram- @Kennyywilliamss
mrreptoid,personal account of real human
jigarshahdc,husband  author  Generate Capital - focused on helping entrepreneurs finance the Resource Revolution. It's simple  not easy
czarinagimenez3,Reaching my dreams  💭✨ IG= queencza  musical.ly& snapchat moonalien.xx  📍PH MNL
abbipalcik,
nichol_e,something else
keeradaniel,party gets me wetter
rickertseng,
kathryn_weber,ΠΒΦ | #FTK •stay humble•work hard•be kind• #foodie #mom
adamjacobspdx,Wordsmith // Social + Digital Media Specialist // Video + Design // @CMDCreates
acl_423,♡ 23 | Texan | Mexicana | BA in Mass Comm & Poli Sci '14 | First grade ELA teacher ♡
gt_sciences,Science research news & community engagement from the Georgia Tech College of Sciences
jameswaste,We're a long established waste management company covering  East Sussex.Low cost  professional and friendly skip hire service.  01323 372 007
pawandurani,You are all you have to offer the world. Know yourself  love yourself and be yourself. || Anything retweeted is not adopted as a statement of fact ||
liztweetstech,@JBKnowledge Marketing Director with a knack for using gifs as a serious form of communication. Absorber of all things marketing  tech  construction and Aggie.
moon46191,
drstip,Trust me  I'm a doctor. But not THAT type of doctor.
indianmonk1,Sanghi  Bhakt for Kambhakts  BJPian
philleeeeeep,
howsarahsmiles,Woman. Feminist. Student. Angsty. I'm always fighting something tbh.
drewneisser,CEO @renegadellc  publisher @smxplorer  author @CMObook  @AdAge CMO blogger  proud dad of 2  Ben Franklin nut #ForeverDuke
badruddeen,Peel Raw Eggs. Proud Web Maven/Scholar #Travel #Geek. Problem Solver. Social Mediaholic. ♡ #Tennis #Surfing (internet) #Watersports #Music #Blues #Photography
th_mchll_fctr,
alex_noreen,life is better when you're laughing☆
cautionbug,The Internet is a fucked place. Social media doubly so. i like cats.
nottinghilldady,A Nott Hill Dad writing about the crazy world of public schools in West London -Fashion  Cinema  Food  Travel
kristiku,Responsible and proud Indian. Big fan of Guns  Tanks  Fighter Jets and everything that destroys. Big fan of the Armed Forces and Spec Ops. Hate Politics
juleshortstuff,Asian by birth  Geek by nature  3D Animator by trade | Cosplays sometimes  Is odd at all times
politicpac,Researcher @pewtrusts focusing on making families financially secure.Political Scientist  photographer & social justice activist. Views and opinions are my own
tj_xm,God  Family Arsenal
ie_digital,The leading global voice in digital innovation: https://t.co/HWIPt5IBVd #DigiMarketing #DigiPub #DigitalLDN #CMOSydney #DigiAds
dstar65,
nties433,•RRHS '15•SIUE '19•
translasbvweld,55 years of experience in innovating & manufacturing #MIG  #TIG & safety #welding products. Worldwide distribution. ISO 9001:2008. See our latest developments:
camwags,Front-pew sitter  dog mom of 2  world traveler  random spanish phrase blurter-outer  dental professional Follow @mf_dentistry!
hypothetical_e,愛
wjhuie,I learn by watching & by doing. I enjoy society and technology especially when they intersect. Citizen participant  no official affiliations  presently @18F
not_a_rake1234,I'm just a Yard tool Lookin for a new purpose in life
ample3d,We are a Virtual Reality / 3D Modeling / Software company. We specialize in: #MobileApps  #VirtualReality  #3DModelling
earthfiles,OFFICIAL Earthfiles - Linda Moulton Howe Twitter Page.  Where experts  eyewitnesses & viewers share the latest news updates in Earth & astronomical mysteries.
emtadle,
lebel_spencer,
martian_garden,Research-Grade Simulated #Mars Soil  Designed by #NASA and #NASAJPL. Samples  Kits  and Bulk Mojave Mars Regolith Simulant available.
craizeedaizee,🇺🇸🇬🇧 Lyme Disease Warrior & Survivor 💚💚 Licensed Physical Therapist Assistant #FitbitLife 👣🐾         ¯\_(ツ)_/¯
_michaelhoffman,TandemNSI's Executive Editor  Director of Marketing
gabriel_16c,aims it and gets it
ryanjsuto,I write about politics. Proud #HudsonValley native  husband of @yalamiri  and alumnus of @Penn_State & @SyacuseU. Opinions are my own; RTs ≠ endorsement.
cameronpmurphy,Compassionate human being  and concerned citizen of the world. #BDS #QuantumPhysics #EnvironmentalScience I play drums & guitar
aerospacenews,AeroSpace  it's amazing! Let's soar! #avgeek #STEM #aerospace #aerospacenews #aviation #space #military #drones Subscribe: https://t.co/hIrizRCyeu
wintxersoldier,get off my lawn ♡ @ILLUSlVEMAN is my zoë ♡
swiftskloss,So let me lie  the grass below; above  the vaulted sky // kaylor  sanvers  green  carrie fisher
joshuachdc,Awesome combination of book worm  space nerd  policy wonk  gym rat  and coffee addict.
cluckeryduckery,Sarcastic  snarky smartass. Husband. Voter. Science lover. In mid-October i was wishing Nov. 9th would hurry up and get here. Be careful what you wish for...
amityleo,A simple man from a poor country waiting for the light to come in life!  #photographer #dreamer #astrolover #adventurer #animalsaver #naturelover
wef,The international organization for public private cooperation. Follow us for research  insight and analysis on global issues
shipwrightjr,Dad  Husband  Systems Engineering Management Best Practices (CMMI  ISO  Lean) Process Analyst by trade  Sci Fi Junky  Model Shipwright  History Buff
meganminelli,Just trying to make sense of it all. Novelist and lover of literature. Like equality so am a socialist  according to Bronwyn Bishop. #amreading #amwriting
bigtimebatman_,Just let me sing  and I'll be content. #teamalto #LSU Jeremiah 29:11
alexhumphrey18,I like learning about astronomy. I play Nintendo video games. I hope to work for Nintendo or NASA. My favorite video game です Pokémon and sports games.
playboikream,Hella barred out you can barley understand me
isurusam,"Cyber War is imminent  be ready" | Sri Lanka
poonamchandvis2,IAS (Civil service preparation; UPSC Student )☆New Delhi
vsofficialmusic,Music Producer 🎹 Gamer 🎮 Tech Savvy 💻 Juice Plus Rep 🍇 https://t.co/chuahjbp4n SnapChat: SuperDup3rHigh 👻
sawyercurt,Sailor  father  husband  Tau'ri  craft beer drinker  senior IT leader. Anything retweeted is not adopted as statement of fact.
ku0vpdsidspy66s,I'm a morning or come home from school every day to get things done has been playing computer as to what games to play? I have a new game play should be bought.
namastibet,fotografia poesia montanhas do mundo extreme runner
_vjy,Just contributing to the entropy of the universe..
